ダウンロードした時刻：2026/03/16 12:21:10

,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,1.8,0,8,1,4.0,,8,9.58,8,1,10.0,8
2025/1/2,0.0,0,8,1,4.0,,8,3.09,8,1,10.0,8
2025/1/3,0.0,0,8,1,4.0,,8,4.84,8,1,10.0,8
2025/1/4,0.0,0,8,1,4.0,,8,5.65,8,1,10.0,8
2025/1/5,4.7,0,8,1,4.0,,8,11.50,8,1,10.0,8
2025/1/6,1.8,0,8,1,4.0,,8,9.07,8,1,10.1,8
2025/1/7,3.9,0,8,1,4.0,,8,11.02,8,1,10.1,8
2025/1/8,7.5,0,8,1,3.9,,8,14.41,8,1,10.1,8
2025/1/9,2.5,0,8,1,3.9,,8,10.07,8,1,10.1,8
2025/1/10,1.4,0,8,1,3.9,,8,7.23,8,1,10.1,8
2025/1/11,3.4,0,8,1,3.9,,8,11.18,8,1,10.2,8
2025/1/12,2.4,0,8,1,3.9,,8,7.61,8,1,10.2,8
2025/1/13,3.2,0,8,1,3.8,,8,11.37,8,1,10.2,8
2025/1/14,6.2,0,8,1,3.8,,8,13.20,8,1,10.3,8
2025/1/15,0.7,0,8,1,3.8,,8,6.40,8,1,10.3,8
2025/1/16,0.1,0,8,1,3.8,,8,4.06,8,1,10.4,8
2025/1/17,1.7,0,8,1,3.8,,8,6.55,8,1,10.4,8
2025/1/18,7.6,0,8,1,3.8,,8,15.60,8,1,10.4,8
