ダウンロードした時刻：2026/03/16 12:18:20

,父島,父島,父島,父島,父島,父島,父島,父島,父島,父島,父島,父島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,2.5,0,8,1,4.2,,8,9.67,8,1,10.1,8
2025/1/2,2.9,0,8,1,4.2,,8,10.94,8,1,10.2,8
2025/1/3,0.0,0,8,1,4.3,,8,4.68,8,1,10.3,8
2025/1/4,0.0,0,8,1,4.3,,8,2.66,8,1,10.3,8
2025/1/5,0.2,0,8,1,4.3,,8,4.70,8,1,10.3,8
2025/1/6,3.0,0,8,1,4.3,,8,8.87,8,1,10.4,8
2025/1/7,4.6,0,8,1,4.3,,8,10.36,8,1,10.4,8
2025/1/8,4.7,0,8,1,4.3,,8,12.37,8,1,10.4,8
2025/1/9,8.6,0,8,1,4.3,,8,14.66,8,1,10.4,8
2025/1/10,0.7,0,8,1,4.2,,8,6.09,8,1,10.4,8
2025/1/11,3.5,0,8,1,4.2,,8,11.03,8,1,10.4,8
2025/1/12,0.9,0,8,1,4.2,,8,7.70,8,1,10.4,8
2025/1/13,5.1,0,8,1,4.1,,8,12.21,8,1,10.4,8
2025/1/14,5.9,0,8,1,4.1,,8,12.89,8,1,10.4,8
2025/1/15,0.5,0,8,1,4.1,,8,7.10,8,1,10.4,8
2025/1/16,0.0,0,8,1,4.1,,8,2.88,8,1,10.5,8
2025/1/17,0.0,0,8,1,4.1,,8,4.34,8,1,10.5,8
2025/1/18,6.4,0,8,1,4.1,,8,14.42,8,1,10.6,8
2025/1/19,4.9,0,8,1,4.1,,8,12.45,8,1,10.7,8
2025/1/20,0.7,0,8,1,4.1,,8,7.58,8,1,10.8,8
