ダウンロードした時刻：2026/03/16 12:18:23

,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島,南鳥島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,6.1,0,8,1,5.3,,8,12.94,8,1,12.1,8
2025/1/2,8.6,0,8,1,5.3,,8,15.25,8,1,12.1,8
2025/1/3,9.6,0,8,1,5.4,,8,15.80,8,1,12.2,8
2025/1/4,8.2,0,8,1,5.4,,8,15.15,8,1,12.2,8
2025/1/5,4.7,0,8,1,5.4,,8,11.69,8,1,12.3,8
2025/1/6,6.8,0,8,1,5.4,,8,14.09,8,1,12.4,8
2025/1/7,2.6,0,8,1,5.4,,8,11.16,8,1,12.4,8
2025/1/8,5.9,0,8,1,5.5,,8,11.92,8,1,12.5,8
2025/1/9,0.1,0,8,1,5.5,,8,7.05,8,1,12.6,8
2025/1/10,2.3,0,8,1,5.5,,8,10.31,8,1,12.6,8
2025/1/11,7.0,0,8,1,5.5,,8,14.36,8,1,12.7,8
2025/1/12,1.9,0,8,1,5.5,,8,11.08,8,1,12.8,8
2025/1/13,8.8,0,8,1,5.5,,8,16.27,8,1,12.8,8
2025/1/14,2.8,0,8,1,5.5,,8,10.60,8,1,12.9,8
2025/1/15,0.8,0,8,1,5.6,,8,6.96,8,1,13.0,8
2025/1/16,8.5,0,8,1,5.6,,8,16.16,8,1,13.0,8
2025/1/17,6.2,0,8,1,5.6,,8,14.16,8,1,13.1,8
2025/1/18,6.4,0,8,1,5.6,,8,14.81,8,1,13.2,8
2025/1/19,0.5,0,8,1,5.6,,8,7.78,8,1,13.2,8
