stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,livable
s47401,稚内,45.415,141.678333,11,solar_normal,11.092,1.3446,0.0858,31.307,0.427,4.186,16.385,4.773,47.0,4.96,59.0,0.1933,0.3092,0.1733,0.3212,344,149,1
s47407,旭川,43.756667,142.371667,12,solar_normal,11.969,1.1706,0.0798,29.12,0.04,6.108,17.253,4.133,63.0,4.22,66.0,0.1533,0.2843,0.16,0.2902,342,151,1
s47409,網走,44.016667,144.278333,17,solar_normal,12.507,1.0798,0.0778,28.413,0.307,6.459,17.605,4.3,59.0,3.913,68.0,0.1667,0.306,0.1467,0.2785,358,155,1
s47412,札幌,43.06,141.328333,14,solar_normal,12.343,1.1218,0.0791,28.853,0.0,6.22,17.477,4.147,56.0,3.847,68.0,0.1533,0.2874,0.1533,0.2666,347,152,1
s47417,帯広,42.921667,143.211667,20,solar_normal,12.691,0.8733,0.0647,23.6,0.627,8.278,15.433,4.28,41.0,2.833,100.0,0.1533,0.3726,0.12,0.2467,348,124,1
s47423,室蘭,42.311667,140.975,21,solar_normal,12.228,1.1091,0.0779,28.44,0.28,5.969,16.052,4.867,44.0,4.347,87.0,0.1867,0.3456,0.1733,0.3087,349,150,1
s47430,函館,41.816667,140.753333,23,solar_normal,12.052,1.0705,0.0753,27.467,0.12,6.617,15.724,3.533,59.0,4.06,108.0,0.1467,0.2584,0.1733,0.2969,349,151,1
s47575,青森,40.821667,140.768333,31,solar_normal,12.07,1.2289,0.0868,31.68,0.693,5.23,17.664,4.26,56.0,4.46,63.0,0.16,0.275,0.1733,0.2879,345,152,1
s47582,秋田,39.716667,140.098333,32,solar_normal,11.961,1.2466,0.0964,35.187,3.76,4.933,16.997,4.733,52.0,4.6,63.0,0.1867,0.3012,0.1867,0.2927,347,153,1
s47584,盛岡,39.698333,141.165,33,solar_normal,12.302,1.0139,0.0791,28.853,1.96,7.307,16.086,3.433,69.0,3.193,112.0,0.1467,0.2553,0.14,0.2375,344,150,1
s47588,山形,38.255,140.345,35,solar_normal,12.437,1.0831,0.0898,32.76,4.12,6.82,16.64,3.513,65.0,3.687,119.0,0.14,0.2453,0.18,0.2574,345,150,1
s47590,仙台,38.261667,140.896667,34,solar_normal,12.542,0.8465,0.0743,27.107,4.0,8.492,14.697,3.42,56.0,4.12,134.0,0.1467,0.296,0.2267,0.3566,343,147,1
s47595,福島,37.758333,140.47,36,solar_normal,12.455,0.923,0.0785,28.653,4.173,8.035,15.113,3.433,57.0,4.167,129.0,0.1467,0.2805,0.2133,0.3404,346,147,1
s47604,新潟,37.893333,139.018333,54,solar_normal,12.459,1.2028,0.1065,38.867,6.72,5.569,17.606,4.587,56.0,4.313,125.0,0.1733,0.2854,0.2,0.2684,345,150,1
s47607,富山,36.708333,137.201667,55,solar_normal,12.373,1.1222,0.0999,36.467,7.547,6.158,16.98,3.84,59.0,4.507,133.0,0.1333,0.2656,0.2133,0.3117,347,149,1
s47610,長野,36.661667,138.191667,48,solar_normal,14.686,0.9047,0.0896,32.707,4.707,9.026,19.193,3.947,60.0,3.947,115.0,0.1533,0.2819,0.1933,0.2819,351,140,1
s47615,宇都宮,36.548333,139.868333,41,solar_normal,12.991,0.6962,0.0648,23.667,4.52,9.945,14.816,2.8,59.0,3.927,121.0,0.1133,0.2925,0.2,0.4102,336,144,1
s47616,福井,36.055,136.221667,57,solar_normal,12.63,1.0798,0.099,36.133,8.053,6.221,16.997,4.24,56.0,4.12,66.0,0.22,0.302,0.18,0.2934,351,213,1
s47624,前橋,36.405,139.06,42,solar_normal,13.582,0.7021,0.0702,25.613,5.387,10.137,15.837,3.007,57.0,4.047,121.0,0.1133,0.2973,0.2133,0.4001,338,145,1
s47636,名古屋,35.166667,136.965,51,solar_normal,14.027,0.71,0.0756,27.6,6.307,9.771,16.865,3.153,56.0,3.7,135.0,0.12,0.2962,0.1667,0.3475,344,144,1
s47638,甲府,35.666667,138.553333,49,solar_normal,14.622,0.7207,0.078,28.453,6.813,10.444,18.002,3.133,58.0,4.44,120.0,0.1267,0.2896,0.1733,0.4104,341,144,1
s47646,つくば（館野）,36.056667,140.125,40,solar_normal,13.415,0.7417,0.0772,28.16,7.16,9.873,16.577,2.847,66.0,4.013,117.0,0.1267,0.2711,0.2067,0.3822,337,145,1
s47648,銚子,35.738333,140.856667,45,solar_normal,13.907,0.8428,0.0883,32.24,6.76,9.335,18.334,3.633,69.0,5.407,41.0,0.16,0.2852,0.2,0.4244,337,214,1
s47656,静岡,34.975,138.403333,50,solar_normal,14.226,0.6756,0.0732,26.733,6.627,10.496,17.26,2.78,63.0,4.693,126.0,0.1267,0.2765,0.1933,0.4668,340,143,1
s47662,東京,35.691667,139.75,44,solar_normal,12.68,0.7305,0.0727,26.52,6.8,9.503,15.38,2.707,65.0,3.987,116.0,0.1267,0.2745,0.22,0.4043,336,144,1
s47741,松江,35.456667,133.065,68,solar_normal,12.898,1.0959,0.1022,37.293,7.973,6.156,17.594,5.08,52.0,4.153,132.0,0.2133,0.3465,0.2067,0.2833,354,137,1
s47761,彦根,35.275,136.243333,60,solar_normal,13.18,0.9557,0.0911,33.267,6.973,7.265,17.38,3.813,57.0,4.173,65.0,0.1867,0.2901,0.1667,0.3174,355,214,1
s47762,下関,33.948333,130.925,81,solar_normal,13.367,0.9511,0.102,37.227,10.32,7.276,17.166,5.627,55.0,4.013,72.0,0.3,0.4182,0.1667,0.2983,349,212,1
s47765,広島,34.398333,132.461667,67,solar_normal,13.894,0.8012,0.088,32.12,8.693,8.84,17.266,4.62,58.0,3.333,66.0,0.2267,0.3944,0.14,0.2846,351,212,1
s47772,大阪,34.681667,135.518333,62,solar_normal,13.577,0.8162,0.0806,29.413,5.973,8.503,17.603,3.413,54.0,4.267,62.0,0.1533,0.2912,0.1733,0.3641,351,213,1
s47780,奈良,34.673333,135.836667,64,solar_normal,13.082,0.8519,0.0829,30.267,7.027,7.852,16.761,3.66,51.0,4.053,63.0,0.16,0.315,0.16,0.3488,352,215,1
s47807,福岡,33.581667,130.375,82,solar_normal,13.333,0.8759,0.0933,34.04,9.893,7.811,16.662,4.953,54.0,3.84,72.0,0.2667,0.4103,0.1467,0.3181,349,210,1
s47813,佐賀,33.265,130.305,85,solar_normal,13.19,0.7627,0.088,32.12,10.373,8.443,15.769,5.8,54.0,3.647,69.0,0.2867,0.5334,0.14,0.3354,349,212,1
s47815,大分,33.235,131.618333,83,solar_normal,13.25,0.7525,0.0807,29.453,8.333,8.99,16.353,4.807,57.0,3.753,63.0,0.2333,0.4552,0.1467,0.3554,347,210,1
s47817,長崎,32.733333,129.866667,84,solar_normal,13.593,0.8848,0.1003,36.613,10.76,8.005,17.011,6.853,60.0,3.987,70.0,0.3467,0.5302,0.16,0.3084,10,210,1
s47819,熊本,32.813333,130.706667,86,solar_normal,13.893,0.7874,0.0907,33.12,9.76,8.798,17.033,5.72,58.0,3.647,64.0,0.2867,0.4897,0.14,0.3122,350,211,1
s47827,鹿児島,31.555,130.546667,88,solar_normal,14.04,0.7621,0.0892,32.573,9.747,9.383,17.179,6.367,65.0,3.347,65.0,0.3067,0.5578,0.1333,0.2932,9,210,1
s47830,宮崎,31.938333,131.413333,87,solar_normal,14.442,0.6868,0.0797,29.08,8.2,10.876,17.675,5.847,76.0,3.747,57.0,0.28,0.56,0.1533,0.3589,337,207,1
s47887,松山,33.843333,132.776667,73,solar_normal,13.968,0.8469,0.0921,33.6,8.293,8.603,17.846,4.88,62.0,3.993,66.0,0.24,0.3857,0.1533,0.3156,349,211,1
s47891,高松,34.318333,134.053333,72,solar_normal,13.932,0.8535,0.0879,32.067,6.84,8.591,18.244,3.853,58.0,4.46,62.0,0.1933,0.3055,0.16,0.3536,349,211,1
s47893,高知,33.566667,133.548333,74,solar_normal,14.287,0.6685,0.0774,28.24,8.187,10.407,17.215,4.66,62.0,3.487,59.0,0.2467,0.4648,0.14,0.3477,350,212,1
s47909,名瀬,28.385,129.493333,88,solar_normal,11.93,1.063,0.0803,29.293,3.267,6.451,17.657,5.56,115.0,3.553,65.0,0.3267,0.4273,0.1467,0.2731,2,195,1
s47918,石垣島,24.336667,124.163333,91,solar_normal,15.388,0.9306,0.0831,30.347,0.053,9.135,22.248,4.853,101.0,3.7,70.0,0.34,0.3204,0.16,0.2443,350,180,1
s47927,宮古島,24.793333,125.278333,91,solar_normal,14.902,0.9085,0.0782,28.56,0.04,9.005,21.333,4.653,102.0,3.58,73.0,0.3067,0.3263,0.1533,0.2511,3,180,1
s47936,那覇,26.206667,127.686667,91,solar_normal,14.499,0.8472,0.0733,26.76,1.093,9.064,20.14,4.7,110.0,3.407,66.0,0.2933,0.3662,0.1467,0.2655,6,184,1
s47945,南大東（南大東島）,25.828333,131.228333,91,solar_normal,16.369,0.8357,0.0898,32.787,2.853,10.574,22.731,5.993,112.0,4.353,64.0,0.3267,0.4004,0.1867,0.2909,350,182,1
s47971,父島,27.091667,142.19,44,solar_normal,16.299,0.8094,0.0822,29.987,1.48,11.06,22.301,5.953,119.0,3.773,77.0,0.2933,0.4177,0.16,0.2647,349,181,1
s47991,南鳥島,24.288333,153.983333,44,solar_normal,19.189,0.6704,0.0775,28.293,1.36,13.344,23.312,3.68,66.0,3.393,109.0,0.14,0.2733,0.14,0.252,362,169,0
