stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,winter_floor_eff,autumn_rate,spring_rate,autumn_rate_abs,spring_rate_abs,eff_trough_day,livable
a1441,野母崎,32.578333,129.74,84,sunshine_normal,5.685,0.8265,0.0485,17.72,6.653,3.652,6.458,4.8,155.0,1.807,91.0,0.22,0.8675,0.08,0.3265,13,210,7.253,0.3411,0.3146,5.77,5.322,13,1
s47401,稚内,45.415,141.678333,11,sunshine_normal,3.961,1.239,0.0369,13.453,3.293,1.403,4.778,2.073,37.0,2.58,123.0,0.1067,0.4081,0.1,0.5079,347,144,1.981,0.3859,0.3922,5.584,5.675,353,1
s47402,北見枝幸,44.94,142.585,11,sunshine_normal,4.111,0.8186,0.0286,10.453,3.533,2.628,4.122,1.347,45.0,2.053,149.0,0.0667,0.3892,0.0933,0.5934,335,99,3.691,0.4253,0.3725,4.975,4.357,362,1
s47404,羽幌,44.363333,141.7,13,sunshine_normal,4.23,1.2756,0.0356,12.987,1.493,1.711,5.574,1.967,43.0,2.353,38.0,0.08,0.3422,0.1067,0.4095,342,146,2.485,0.3734,0.3351,6.021,5.405,343,1
s47405,雄武,44.58,142.963333,17,sunshine_normal,4.489,0.6505,0.0244,8.907,2.787,3.187,4.412,1.353,41.0,1.68,149.0,0.08,0.4423,0.0867,0.549,0,98,4.516,0.3997,0.4174,4.556,4.759,362,1
s47406,留萌,43.945,141.631667,13,sunshine_normal,4.147,1.3028,0.0355,12.96,1.387,1.534,5.54,2.14,39.0,2.393,40.0,0.0933,0.3698,0.1067,0.4136,345,147,2.261,0.3505,0.3535,5.643,5.69,345,1
s47407,旭川,43.756667,142.371667,12,sunshine_normal,4.288,1.0351,0.0274,10.0,0.507,2.462,5.324,1.333,58.0,1.953,118.0,0.0667,0.2809,0.0867,0.4115,339,146,3.626,0.3126,0.3016,4.629,4.466,344,1
s47409,網走,44.016667,144.278333,17,sunshine_normal,5.071,0.4946,0.02,7.293,1.787,3.875,5.44,1.28,42.0,1.207,142.0,0.06,0.4649,0.06,0.4383,3,150,5.593,0.3344,0.3585,3.954,4.24,0,1
s47411,小樽,43.181667,141.015,16,sunshine_normal,4.345,1.0292,0.0298,10.893,1.227,2.099,5.398,1.927,40.0,2.02,125.0,0.0933,0.3986,0.0867,0.4179,0,146,3.126,0.333,0.3265,4.952,4.855,364,1
s47412,札幌,43.06,141.328333,14,sunshine_normal,4.705,0.8056,0.0241,8.8,0.733,2.944,5.574,1.307,47.0,1.567,127.0,0.0667,0.324,0.0733,0.3884,361,146,4.396,0.3088,0.3089,4.367,4.369,361,1
s47413,岩見沢,43.211667,141.785,15,sunshine_normal,4.597,0.8895,0.0274,10.0,1.413,2.889,5.244,1.473,57.0,1.86,126.0,0.0733,0.3432,0.08,0.4332,347,145,4.335,0.3261,0.3524,4.658,5.033,353,1
s47417,帯広,42.921667,143.211667,20,sunshine_normal,5.541,0.5556,0.023,8.387,1.64,6.106,4.185,1.033,131.0,1.44,36.0,0.06,0.3063,0.0933,0.4269,225,78,9.124,0.2231,0.4171,2.09,3.906,346,1
s47418,釧路,42.985,144.376667,19,sunshine_normal,5.364,0.5277,0.0229,8.373,2.293,6.05,3.897,1.253,40.0,1.76,25.0,0.0667,0.4123,0.0733,0.5789,225,65,9.003,0.3394,0.3743,2.881,3.177,344,1
s47420,根室,43.33,145.585,18,sunshine_normal,5.062,0.4486,0.0212,7.733,2.6,5.142,3.99,1.013,160.0,1.46,26.0,0.0467,0.3948,0.0933,0.5688,201,81,7.576,0.3303,0.4031,3.028,3.695,360,1
s47421,寿都,42.795,140.223333,16,sunshine_normal,3.823,1.4199,0.0347,12.667,1.12,0.939,5.202,2.433,38.0,2.287,127.0,0.1067,0.4215,0.0933,0.3961,362,147,1.43,0.3215,0.3557,5.143,5.69,362,1
s47423,室蘭,42.311667,140.975,21,sunshine_normal,4.736,0.9022,0.0332,12.12,3.427,2.952,4.557,1.807,42.0,2.133,163.0,0.0933,0.4156,0.08,0.4908,347,90,4.568,0.3752,0.4035,5.348,5.752,353,1
