rank,stid,name,latitude,longitude,prid,overall_score,stability_score,transition_score,mean_val,amplitude,ramp,winter_floor,spring_30d_gain,autumn_30d_drop,spring_rise_days,autumn_fall_days
1,s47585,宮古,39.646667,141.965,33,-8.636,-3.806,-4.829,5.153,0.3607,0.0216,5.083,0.973,1.673,233.0,14.0
2,s47420,根室,43.33,145.585,18,-7.754,-3.61,-4.144,5.062,0.4486,0.0212,5.142,1.013,1.46,160.0,26.0
3,s47417,帯広,42.921667,143.211667,20,-7.365,-3.576,-3.789,5.541,0.5556,0.023,6.106,1.033,1.44,131.0,36.0
4,s47409,網走,44.016667,144.278333,17,-6.875,-2.843,-4.032,5.071,0.4946,0.02,3.875,1.28,1.207,42.0,142.0
5,s47512,大船渡,39.063333,141.713333,33,-6.743,-3.01,-3.733,4.779,0.3987,0.0237,4.544,0.647,1.867,176.0,18.0
6,s47440,広尾,42.293333,143.316667,20,-6.592,-3.229,-3.364,4.981,0.5351,0.0226,5.346,1.153,1.567,139.0,27.0
7,s47581,八戸,40.526667,141.521667,31,-6.582,-2.303,-4.279,5.056,0.5003,0.0245,4.163,0.88,1.427,51.0,154.0
8,s47592,石巻,38.426667,141.298333,34,-6.518,-3.291,-3.226,5.341,0.3897,0.0252,5.313,1.307,2.167,233.0,11.0
9,s47590,仙台,38.261667,140.896667,34,-5.355,-2.438,-2.917,5.037,0.4754,0.027,4.864,1.193,2.36,234.0,12.0
10,s47618,松本,36.246667,137.97,48,-5.294,-2.958,-2.336,5.852,0.386,0.0286,5.607,0.88,2.227,166.0,12.0
11,s47435,紋別,44.345,143.355,17,-5.234,-1.939,-3.295,4.59,0.5911,0.0214,3.303,1.4,1.487,41.0,148.0
12,s47640,河口湖,35.5,138.76,49,-5.144,-2.217,-2.926,5.523,0.5654,0.0344,6.828,1.673,2.067,152.0,101.0
13,s47584,盛岡,39.698333,141.165,33,-4.968,-1.396,-3.572,4.618,0.5884,0.0267,3.741,0.927,1.88,75.0,154.0
14,s47822,延岡,32.581667,131.656667,87,-4.941,-2.823,-2.118,5.776,0.383,0.0315,6.095,2.907,1.967,12.0,293.0
15,s47597,白河,37.131667,140.215,36,-4.875,-2.887,-1.988,4.925,0.4892,0.0244,5.006,1.38,2.427,204.0,11.0
16,s47622,軽井沢,36.341667,138.546667,48,-4.862,-2.948,-1.914,5.54,0.4859,0.0283,6.051,1.447,2.34,190.0,14.0
17,s47418,釧路,42.985,144.376667,19,-4.598,-3.651,-0.948,5.364,0.5277,0.0229,6.05,1.253,1.76,40.0,25.0
18,s47615,宇都宮,36.548333,139.868333,41,-4.322,-2.841,-1.481,5.37,0.6458,0.0286,6.81,1.427,2.413,139.0,58.0
19,s47893,高知,33.566667,133.548333,74,-4.281,-3.185,-1.096,5.916,0.3872,0.0294,6.172,2.887,2.373,11.0,290.0
20,s47405,雄武,44.58,142.963333,17,-4.091,-1.197,-2.895,4.489,0.6505,0.0244,3.187,1.353,1.68,41.0,149.0
21,s47690,奥日光（日光）,36.738333,139.5,41,-4.07,-2.406,-1.665,4.838,0.641,0.0256,5.35,1.36,2.493,189.0,17.0
22,s47595,福島,37.758333,140.47,36,-3.863,-1.668,-2.195,4.804,0.542,0.0283,4.321,1.433,2.567,237.0,11.0
23,s47412,札幌,43.06,141.328333,14,-3.568,-0.568,-3.001,4.705,0.8056,0.0241,2.944,1.307,1.567,47.0,127.0
24,s47624,前橋,36.405,139.06,42,-3.56,-3.356,-0.204,5.899,0.4961,0.0289,6.901,1.76,2.587,147.0,15.0
25,s47626,熊谷,36.15,139.38,43,-3.528,-2.632,-0.895,5.77,0.5275,0.0332,6.986,1.913,2.513,150.0,57.0
26,s47424,苫小牧,42.623333,141.546667,21,-3.495,-2.888,-0.607,4.692,0.4638,0.0231,4.549,1.32,1.767,32.0,18.0
27,s47830,宮崎,31.938333,131.413333,87,-3.43,-2.133,-1.297,5.815,0.4776,0.0344,6.226,3.333,2.067,13.0,284.0
28,s47656,静岡,34.975,138.403333,50,-3.186,-3.143,-0.044,5.892,0.4193,0.0312,6.722,1.84,2.213,22.0,103.0
29,s47829,都城,31.73,131.081667,87,-3.16,-2.091,-1.068,5.308,0.4662,0.0319,5.479,3.067,2.28,12.0,285.0
30,s47641,秩父,35.99,139.073333,43,-3.135,-2.001,-1.133,5.378,0.5909,0.0346,6.671,1.913,2.433,150.0,60.0
31,s47426,浦河,42.161667,142.776667,22,-3.015,-1.763,-1.252,5.04,0.5368,0.0289,4.592,1.207,1.713,42.0,32.0
32,s47629,水戸,36.38,140.466667,40,-2.908,-3.09,0.182,5.483,0.3713,0.0305,6.209,1.987,2.187,15.0,103.0
33,s47430,函館,41.816667,140.753333,23,-2.876,-0.208,-2.668,4.779,0.7248,0.0298,3.354,1.247,1.887,48.0,151.0
34,s47835,油津,31.578333,131.406667,87,-2.791,-1.65,-1.141,5.349,0.5412,0.0332,5.502,3.507,2.027,12.0,281.0
35,s47666,石廊崎,34.603333,138.841667,50,-2.666,-1.956,-0.71,5.909,0.4878,0.0344,5.999,2.72,2.587,18.0,278.0
36,s47780,奈良,34.673333,135.836667,64,-2.653,-0.974,-1.679,5.035,0.518,0.0319,3.984,2.573,1.493,64.0,98.0
37,s47971,父島,27.091667,142.19,44,-2.397,-0.691,-1.706,5.564,0.7115,0.031,4.346,3.713,1.227,104.0,91.0
38,s47657,三島,35.113333,138.925,50,-2.348,-2.862,0.514,5.49,0.3779,0.0311,6.031,2.013,2.36,18.0,107.0
39,s47898,清水,32.721667,133.01,74,-2.329,-1.747,-0.581,6.007,0.5319,0.0344,5.904,3.607,2.227,13.0,282.0
40,s47662,東京,35.691667,139.75,44,-2.051,-2.333,0.282,5.276,0.4569,0.0331,6.11,1.947,2.287,22.0,101.0
41,s47413,岩見沢,43.211667,141.785,15,-2.014,0.265,-2.279,4.597,0.8895,0.0274,2.889,1.473,1.86,57.0,126.0
42,s47646,つくば（館野）,36.056667,140.125,40,-1.895,-2.375,0.481,5.519,0.4655,0.0344,6.545,2.14,2.287,21.0,103.0
43,s47778,潮岬,33.45,135.756667,65,-1.839,-1.998,0.159,6.173,0.5138,0.0352,6.403,3.607,2.527,13.0,281.0
44,s47770,神戸,34.696667,135.211667,63,-1.754,-1.162,-0.592,5.711,0.4856,0.0347,4.803,3.007,1.88,141.0,25.0
45,s47402,北見枝幸,44.94,142.585,11,-1.694,0.379,-2.073,4.111,0.8186,0.0286,2.628,1.347,2.053,45.0,149.0
46,s47663,尾鷲,34.068333,136.193333,53,-1.572,-3.103,1.531,5.404,0.4182,0.0279,5.835,1.947,2.247,20.0,13.0
47,s47598,小名浜,36.946667,140.903333,36,-1.548,-3.213,1.665,5.671,0.3548,0.0301,6.217,1.893,2.233,10.0,10.0
48,s47767,福山,34.446667,133.246667,67,-1.543,-0.908,-0.635,5.68,0.4988,0.0353,4.62,3.047,1.7,78.0,79.0
49,s47617,高山,36.155,137.253333,52,-1.502,0.553,-2.054,4.49,0.7677,0.0327,3.096,1.333,2.187,56.0,155.0
50,s47610,長野,36.661667,138.191667,48,-1.38,-1.205,-0.175,5.402,0.5213,0.0317,4.319,0.96,2.267,53.0,18.0
51,s47777,和歌山,34.228333,135.163333,65,-1.37,-0.253,-1.116,5.732,0.6034,0.0367,4.487,3.187,1.947,151.0,72.0
52,s47638,甲府,35.666667,138.553333,49,-1.274,-3.254,1.981,6.095,0.3762,0.0316,6.768,2.247,2.26,15.0,13.0
53,s47620,諏訪,36.045,138.108333,48,-1.242,-3.493,2.252,5.938,0.3462,0.0275,5.971,2.227,2.36,13.0,12.0
